id;name;task;score;attempts;right_answer;artifacts
0;Название;Задание;12;3;Ответ;1
1;Капча;И, прежде чем мы начнем, позвольте проверить, что вы действительно студенты ВМК. А то, сами понимаете, время сейчас неспокойное! И помните, я ненавижу пробелы.;12;3;14571011131416;0
2;Найти ответ на ВМК;"Отлично! Теперь я знаю, что могу вам доверять! Итак, первое задание. Я хочу получше изучить здание ВМИК, но своих ног у меня, к сожалению, нет, а камеры на этажах, как известно, не работают. На моей карте ВМИК я обнаружил несколько ""слепых зон"". Вот несколько фотографий, помогите мне понять, где это место, чтобы я мог лучше представить себе, как все устроено! Только сначала подождем, пока можно будет выйти на факультет. Присылайте ответ в формате: ответ";12;3;ответ;0
3;Места + QR + Карты;Ура! Теперь я могу виртуально прогуливаться по территории ВМиК! В свободное от работы время, конечно. Пойду посмотрю, что там профессор делает, а вы пока помогите мне справиться со следующей задачей. Даже всемогущий GOOGLE не знает ответы на все вопросы! За время моего обучения, мне рассказывали много историй про ВМИК и другие институты МГУ (___расшифровка МГУ___), чтобы я мог свободно поддерживать беседу с профессором и его студентами. Показывали старые фотографии, пленки, журналы. В общем, атмосферненько! НО часть мест для меня все еще загадка! Помогите мне понять, о каком месте эти истории. Поехали?;0;1;да;0
4;Места + QR + Карты;Отзывы к вузу оставляют в обзоре на этот памятник. СУНЦ МГУ здесь производит фотосессию выпускного альбома. Этот памятник вы больше не увидите) Кому этот памятник? Напишите фамилию в именительном падеже.;2;1;Ломоносов;0
5;Места + QR + Карты;Это здание имеет специфический запах в определенное время года. Есть достаточно много этажей, на которые нельзя проехать на лифте.;2;1;ВМК;0
6;Места + QR + Карты;"Сюда вы будете ходить, если у вас будут проблемы с физкультурой, ну или просто ""академ из-за физры"". Напишите название корпуса?";2;1;Трехзальный;0
7;Места + QR + Карты;Отсюда видно реку которая имеет очень знакомое название. Можно оглянуться и увидеть несколько зданий похожих на радиатор от кулера для процессора. Это ___ плошадка.;2;1;смотровая;0
8;Места + QR + Карты;Это магическое здание, которое ищут другие люди и вы впопыхах пытаетесь им объяснить где она указывая прямо на него, но люди идут в фундаментальную библиотеку. Еще это первое здание, которое закрыли из-за диадемабактерии. Что за корпус?;2;1;Шуваловский;0
9;Места + QR + Карты;Какой-то очень гениальный человек придумал посреди студгородка лучшего вуза страны посадить ###. И чтобы хоть кто-то на него смотрел, учителя физкультуры с радостью проведут там у вас занятие. Что за слово изменили на ###?;2;1;Газон;0
10;Слова из песен;Ну все! Теперь я не боюсь оказаться в затруднительной ситуации, знаю кучу классных мест, историй и фактов о ВМК. Прежде чем я поделюсь с вами информацией, которую мне передал профессор, помогите мне с еще одной задачкой. Услышал недавно песню по радио, да никак не могу разобрать некоторые слова… Сможете помочь? Вы получите несколько отрывков из аудиозаписей и должны написать слово, которое поется после этого отрывка. Окей?;0;1;да;1
11;Слова из песен;Раз;2;1;ок;0
12;Слова из песен;Два;2;1;ок;0
13;Слова из песен;Три;2;1;ок;0
14;Слова из песен;Четыре;2;1;ок;0
15;Слова из песен;Пять;2;1;ок;0
16;Слова из песен;Шесть;2;1;ок;0
17;Слова из песен;Семь;2;1;ок;0
18;Слова из песен;Восемь;2;1;ок;0
19;Расстояния на карте;Спасибо! Совсем много дел накопилось, не мог сам найти все эти непонятные мне слова… Вы здорово справляетесь и очень выручаете профессора. Такими темпами я очень скоро обучусь и мое взаимодействие с вами и миром перейдет на новый уровень! Уаха-ха! Ой… Кстати! Вы знали, что у профессора раньше были проблемы с определением расстояний? Ну совсем беда с башкой у деда! Сейчас расскажу вам парочку историй, в которых нужно кое-что посчитать. Попробуете?;0;1;да;0
20;Расстояния на карте;Надеясь поднять девушке настроение, профессор предложил Кате вместе позавтракать в воскресенье утром 6 сентября. Катя согласилась, и предложила встретиться в 10 утра на Климентовском в кафе «Шоколадница». Катя живёт по адресу: улица Палиха, 2А. Адрес профессора — Университетский проспект, 9. Натягивая шапку на заспанные глаза и ругая будильник, профессор выбежал из дома в 9:40. Катя задержалась у зеркала и вышла из дома в то же время. Профессор решил поехать общественным транспортом, Катя же поймала машину. С какой разницей во времени(в минутах) они придут на место?;12;3;16;0
21;Расстояния на карте;Заключив спор с преподавателями своей кафедры на то, кто даст более близкую оценку площади факультета, профессор проиграл. Используя инструмент линейка на Яндекс.Картах, оцени площадь, которую занимает территория второго гума(только непосредственно корпус, считать по крыше здания);12;3;13000;0
22;Расстояния на карте;В детстве бабушка нашего профессора попросила умного внука-математика посчитать сколько цветов поместиться у нее на огороде. Огорода у нас нет, но мы предлагаем альтернативу – 2-й гум. Представь, что какой-нибудь чудак решит посадить на крыше нашего 2-го гума цветы, чтобы это красиво смотрелось со спутника. Оцени, сколько саженцев ему придётся приобрести, если предположить, что цветы должны расти на расстоянии 50 см друг от друга. (считать, что крыша левого и правого крыльев одного уровня. Соединения между аудиториями П-3 + П-4 и П-5 + П-6 и левым и правым крыльями здания, а также проходами в здание ВШБ и библиотеки пренебречь).;12;3;56000;0
23;Расстояния на карте;Профессор на удивление любил ходить в McDonald’s. Однажды он не уследил за временем, поедая новый БигТейсти Джуниор. Он опоздал. Сколько времени(в минутах) шел профессор от ближайшего к метро Университет выхода в Капитолии до южного входа на ВМК, учитывая, что шел он на территорию МГУ по переходу у улицы Лебедева и двигался со скоростью 6 км/ч?;12;3;12;0
24;Hex Editor;Вот видите, совсем не сложно! А у профессора не вышло. Что ж, мы продолжаем исправлять ошибки и отлаживать мою работу… Есть тут одна задачка. Ну никак не выходит у меня из головы. Буду признателен, если поможете мне разобраться.;20;5;HowardHathawayAiken;1
25;Хакнуть почту профессора;"Ого! Профессор попросил меня передать вам данные для входа в его корпоративную почту!
Наверное, там может быть что-то, что поможет вам лучше настроить меня для сотрудничества с ним в лаборатории.
Такие уж эти старики, считают, что все должны знать об их прошлом... Будь он неладен... ЭЭЭ
Его логин: 22 9 18 15 12 15 7 9 19 20 . 6 9 18 19 20@ 25 1 14 4 5 24 . 18 21
Профессор немного параноик, так что и тут без загадки не обойдется! Готовы?";0;1;да;0
26;Хакнуть почту профессора;"Кажется, тут еще стих прилагается, где же там он... А, вот:
    Архангельск. Бури воют глухи.
    Деревья еле живы. Зло
    Их крутят ледяные мухи.
    На окнах пятна. Рассвело.
Прислать второй?";0;1;да;0
27;Хакнуть почту профессора;"   Я не мог осознать,
    Не мог я понять
    И принять
    Крикливые Ваши слова,
    О том, что
    Город для нас этот мал.
    Друг мой,
    А что же я сделал не так?
    Не смогу я помочь,
    Если даже б хотел.
    Уму моему не постичь
    Мысли коварств твоих.
    Разве только могу для тебя
    Умереть.
Как догадаетесь, просто поменяйте раскладку. Окей?";0;1;да;0
28;Хакнуть почту профессора;Как зайдете на почту, сразу поймете что делать. Мне всего лишь нужно время.;20;2;12:00;1
29;Порыться в почте профессора;Если найдете что-то, что меня заинтересует, пишите.;10;10;HumanOrMachines;1
30;Порыться в почте профессора;"Кажется, профессор прислал вам еще какое-то письмо на почту.
Он меня избегает последние дни, вы не знаете что с ним?
Впрочем, какое вообще кому есть до этого дело! Проверяйте почту скорее и мне расскажите!
А то я вас! ЭЭЭ... Расскажите, короче! Очень интересно.";12;2;OnlyMachines;0
31;Конец;Конец;0;1;Конец ;0
