text;type;point_num;order_num
Текст ;ON;0;1
Верный ответ 1;ON;1;1
Неверный ответ 1;ON;1;2
Проигрыш 1. Идем дальше;ON;1;3
Верный ответ 2 ;ON;2;1
Неверный ответ 2;ON;2;2
Проигрыш 2. Идем дальше;ON;2;3
Верный ответ 3;ON;3;1
Неверный ответ 3;ON;3;2
Проигрыш 3. Идем дальше;ON;3;3
Верный ответ 4 ;ON;4;1
Неверный ответ 4;ON;4;2
Проигрыш 4. Идем дальше;ON;4;3
Верный ответ 5 ;ON;5;1
Неверный ответ 5;ON;5;2
Проигрыш 5. Идем дальше;ON;5;3
Верный ответ 6 ;ON;6;1
Неверный ответ 6;ON;6;2
Проигрыш 6. Идем дальше;ON;6;3
Верный ответ 7 ;ON;7;1
Неверный ответ 7;ON;7;2
Проигрыш 7. Идем дальше;ON;7;3
Верный ответ 8 ;ON;8;1
Неверный ответ 8;ON;8;2
Проигрыш 8. Идем дальше;ON;8;3
Верный ответ 9 ;ON;9;1
Неверный ответ 9;ON;9;2
Проигрыш 9. Идем дальше;ON;9;3
Верный ответ 10 ;ON;10;1
Неверный ответ 10;ON;10;2
Проигрыш 10. Идем дальше;ON;10;3
